ID,Resource Name,URL,Primary Category,Subcategory,Target Age/Level,Main Language(s),Access Type,Best For,Keywords,Notes
329,Madinah Arabic,https://www.madinaharabic.com/,Language Learning,Arabic lessons,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Arabic, alphabet, grammar, reading, beginner",Free access can vary by feature.
330,Arabic Reading Course,https://arabicreadingcourse.com/,Language Learning,Arabic script reading,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Arabic alphabet, script, reading, beginner",Free access can vary by feature.
331,Russian for Everyone,https://www.russianforeveryone.com/,Language Learning,Russian lessons,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Russian, grammar, vocabulary, reading, exercises",Free access can vary by feature.
332,Learn Russian RT,https://learnrussian.rt.com/,Language Learning,Russian course,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Russian, lessons, grammar, vocabulary, reading",Free access can vary by feature.
333,LanguageGuide.org,https://www.languageguide.org/,Language Learning,Multilingual vocabulary and grammar,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","language learning, vocabulary, grammar, multilingual",Free access can vary by feature.
334,Duostories,https://duostories.org/,Language Learning,Community language stories,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","language stories, Spanish, French, German, reading practice",Free access can vary by feature.
335,LingQ,https://www.lingq.com/,Language Learning,Multilingual reading and listening,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","language learning, reading, listening, vocabulary, multilingual",Free access can vary by feature.
336,Readlang,https://readlang.com/,Language Learning,Reading with translation,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","language learning, reading, translation, vocabulary",Free access can vary by feature.
337,Clozemaster,https://www.clozemaster.com/,Language Learning,Sentence practice,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","language learning, vocabulary, sentences, cloze, practice",Free access can vary by feature.
338,Omniglot,https://www.omniglot.com/,Language Learning,Writing systems and language facts,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","languages, writing systems, scripts, phrases, linguistics",Free access can vary by feature.
339,BBC Languages Archive,https://www.bbc.co.uk/languages/,Language Learning,Language learning archive,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","languages, beginner, archive, phrases, culture",Free access can vary by feature.
340,Goethe-Institut Deutsch fuer dich,https://www.goethe.de/prj/dfd/en/home.cfm,Language Learning,German practice community,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","German, Goethe, exercises, vocabulary, reading",Free access can vary by feature.
341,Goethe-Institut Practice German,https://www.goethe.de/en/spr/ueb.html,Language Learning,German practice,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","German, practice, grammar, vocabulary, reading",Free access can vary by feature.
342,Japan Foundation Minato,https://minato-jf.jp/,Language Learning,Japanese online courses,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, online course, culture, grammar",Free access can vary by feature.
343,Easy German Blog,https://www.easygerman.org/blog,Language Learning,German learning articles,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","German, culture, grammar, vocabulary, learning",Free access can vary by feature.
344,Easy Spanish Blog,https://www.easyspanish.fm/blog,Language Learning,Spanish learning articles,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Spanish, culture, vocabulary, listening, learning",Free access can vary by feature.
345,Easy Languages,https://www.easy-languages.org/,Language Learning,Multilingual video and transcripts,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","languages, listening, transcripts, culture, vocabulary",Free access can vary by feature.
346,LyricsTraining,https://lyricstraining.com/,Language Learning,Language practice with songs,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","language learning, lyrics, listening, vocabulary, songs",Free access can vary by feature.
347,Forvo,https://forvo.com/,Language Learning,Pronunciation dictionary,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","pronunciation, languages, vocabulary, audio, dictionary",Free access can vary by feature.
348,Tatoeba,https://tatoeba.org/,Language Learning,Sentence database,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","sentences, translations, language learning, examples",Free access can vary by feature.
349,Reverso Context,https://context.reverso.net/translation/,Language Learning,Translation examples,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","translation, context, vocabulary, examples, languages",Free access can vary by feature.
350,Linguee,https://www.linguee.com/,Language Learning,Dictionary and examples,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","dictionary, translation, examples, vocabulary, languages",Free access can vary by feature.
351,WordReference,https://www.wordreference.com/,Language Learning,Language dictionary,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","dictionary, Spanish, French, Italian, language forum",Free access can vary by feature.
352,HHMI BioInteractive,https://www.biointeractive.org/,Science & STEM,Biology resources,"Kids, teens, adults, students",Mostly English,Free,"Science articles, STEM explainers, data literacy","biology, life science, genetics, evolution, STEM",Good for nonfiction and project-based learning.
353,BioEd Online,https://www.bioedonline.org/,Science & STEM,Biology education,"Kids, teens, adults, students",Mostly English,Free,"Science articles, STEM explainers, data literacy","biology, science education, health, STEM",Good for nonfiction and project-based learning.
354,NHGRI Education,https://www.genome.gov/education,Science & STEM,Genomics education,"Kids, teens, adults, students",Mostly English,Free,"Science articles, STEM explainers, data literacy","genetics, genomics, DNA, biology, health",Good for nonfiction and project-based learning.
355,NOAA Climate.gov,https://www.climate.gov/,Science & STEM,Climate articles and data,"Kids, teens, adults, students",Mostly English,Free,"Science articles, STEM explainers, data literacy","climate, environment, NOAA, data, science",Good for nonfiction and project-based learning.
356,USGS Science Explorer,https://www.usgs.gov/science/science-explorer,Science & STEM,Earth science articles,"Kids, teens, adults, students",Mostly English,Free,"Science articles, STEM explainers, data literacy","earth science, geology, water, environment, USGS",Good for nonfiction and project-based learning.
357,EPA Students,https://www.epa.gov/students,Science & STEM,Environmental learning,"Kids, teens, adults, students",Mostly English,Free,"Science articles, STEM explainers, data literacy","environment, EPA, climate, pollution, students",Good for nonfiction and project-based learning.
358,NASA STEM Engagement,https://www.nasa.gov/learning-resources/,Science & STEM,STEM resources,"Kids, teens, adults, students",Mostly English,Free,"Science articles, STEM explainers, data literacy","NASA, STEM, space, science, students",Good for nonfiction and project-based learning.
359,Exploratorium Learning,https://www.exploratorium.edu/learn,Science & STEM,Science learning,"Kids, teens, adults, students",Mostly English,Free,"Science articles, STEM explainers, data literacy","science, experiments, museum, learning, STEM",Good for nonfiction and project-based learning.
360,Zooniverse,https://www.zooniverse.org/,Science & STEM,Citizen science,"Kids, teens, adults, students",Mostly English,Free,"Science articles, STEM explainers, data literacy","citizen science, research, astronomy, biology, data",Good for nonfiction and project-based learning.
361,SciShow Kids,https://scishowkids.com/,Science & STEM,Science for kids,"Kids, teens, adults, students",Mostly English,Free,"Science articles, STEM explainers, data literacy","science, kids, STEM, curiosity, biology",Good for nonfiction and project-based learning.
362,National Archives,https://www.archives.gov/,"History, Culture & Primary Sources",US primary sources,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","history, archives, primary sources, documents, US history",Rights and reuse terms vary by item.
363,Founders Online,https://founders.archives.gov/,"History, Culture & Primary Sources",US founding documents,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","US history, primary sources, letters, documents",Rights and reuse terms vary by item.
364,Avalon Project,https://avalon.law.yale.edu/,"History, Culture & Primary Sources",Law and history documents,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","law, history, treaties, legal documents, primary sources",Rights and reuse terms vary by item.
365,Fordham Internet History Sourcebooks,https://sourcebooks.fordham.edu/,"History, Culture & Primary Sources",History sourcebooks,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","history, primary sources, medieval, ancient, modern",Rights and reuse terms vary by item.
366,Gilder Lehrman Institute,https://www.gilderlehrman.org/history-resources,"History, Culture & Primary Sources",US history resources,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","US history, primary sources, essays, civics",Rights and reuse terms vary by item.
367,Smithsonian Magazine,https://www.smithsonianmag.com/,"History, Culture & Primary Sources","Culture, science, history articles","Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","history, science, culture, Smithsonian, articles",Rights and reuse terms vary by item.
368,Google Arts & Culture,https://artsandculture.google.com/,"History, Culture & Primary Sources",Art and culture collections,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","art, culture, museums, history, virtual exhibits",Rights and reuse terms vary by item.
369,Met Heilbrunn Timeline of Art History,https://www.metmuseum.org/toah/,"History, Culture & Primary Sources",Art history essays,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","art history, essays, culture, museum, timeline",Rights and reuse terms vary by item.
370,Khan Academy Arts and Humanities,https://www.khanacademy.org/humanities,"History, Culture & Primary Sources",Humanities lessons,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","history, art history, humanities, philosophy, culture",Rights and reuse terms vary by item.
371,Smarthistory,https://smarthistory.org/,"History, Culture & Primary Sources",Art history,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","art history, humanities, museum, culture, essays",Rights and reuse terms vary by item.
372,Internet Encyclopedia of Philosophy,https://iep.utm.edu/,"History, Culture & Primary Sources",Philosophy reference,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","philosophy, encyclopedia, ethics, metaphysics, history",Rights and reuse terms vary by item.
373,Stanford Encyclopedia of Philosophy,https://plato.stanford.edu/,"History, Culture & Primary Sources",Philosophy reference,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","philosophy, academic, encyclopedia, ethics, logic",Rights and reuse terms vary by item.
374,Folger Shakespeare Library,https://www.folger.edu/explore/shakespeares-works/,"History, Culture & Primary Sources",Shakespeare texts,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","Shakespeare, literature, plays, poetry, Elizabethan",Rights and reuse terms vary by item.
375,Shakespeare MIT,https://shakespeare.mit.edu/,"History, Culture & Primary Sources",Shakespeare texts,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","Shakespeare, plays, literature, classics",Rights and reuse terms vary by item.
376,Digital Bodleian,https://digital.bodleian.ox.ac.uk/,"History, Culture & Primary Sources",Manuscripts and rare books,"Teens, adults, academic","Mostly English, some multilingual",Free / open access,"History, humanities, culture, primary-source research","manuscripts, rare books, history, archives",Rights and reuse terms vary by item.
377,Wikipedia,https://www.wikipedia.org/,Reference & Knowledge,Encyclopedia,All ages with source evaluation,English and multilingual,Free / free limited / open content,"Definitions, encyclopedias, general research support","encyclopedia, general knowledge, research, reference",Verify important facts with primary sources.
378,Wiktionary,https://www.wiktionary.org/,Reference & Knowledge,Dictionary,All ages with source evaluation,English and multilingual,Free / free limited / open content,"Definitions, encyclopedias, general research support","dictionary, vocabulary, words, etymology, translations",Verify important facts with primary sources.
379,Wolfram MathWorld,https://mathworld.wolfram.com/,Reference & Knowledge,Math encyclopedia,All ages with source evaluation,English and multilingual,Free / free limited / open content,"Definitions, encyclopedias, general research support","math, encyclopedia, formulas, geometry, algebra",Verify important facts with primary sources.
380,Encyclopedia.com,https://www.encyclopedia.com/,Reference & Knowledge,Reference articles,All ages with source evaluation,English and multilingual,Free / free limited / open content,"Definitions, encyclopedias, general research support","encyclopedia, reference, biographies, history, science",Verify important facts with primary sources.
381,Britannica Kids,https://kids.britannica.com/,Reference & Knowledge,Kids encyclopedia,All ages with source evaluation,English and multilingual,Free / free limited / open content,"Definitions, encyclopedias, general research support","kids encyclopedia, reference, homework, facts",Verify important facts with primary sources.
382,HowStuffWorks,https://www.howstuffworks.com/,Reference & Knowledge,Explanatory articles,All ages with source evaluation,English and multilingual,Free / free limited / open content,"Definitions, encyclopedias, general research support","explainers, science, technology, everyday knowledge",Verify important facts with primary sources.
383,ThoughtCo,https://www.thoughtco.com/,Reference & Knowledge,Educational articles,All ages with source evaluation,English and multilingual,Free / free limited / open content,"Definitions, encyclopedias, general research support","education, history, science, literature, languages",Verify important facts with primary sources.
384,Merriam-Webster,https://www.merriam-webster.com/,Reference & Knowledge,Dictionary and vocabulary,All ages with source evaluation,English and multilingual,Free / free limited / open content,"Definitions, encyclopedias, general research support","dictionary, vocabulary, English, words, definitions",Verify important facts with primary sources.
385,Cambridge Dictionary,https://dictionary.cambridge.org/,Reference & Knowledge,Dictionary,All ages with source evaluation,English and multilingual,Free / free limited / open content,"Definitions, encyclopedias, general research support","dictionary, ESL, vocabulary, definitions, examples",Verify important facts with primary sources.
386,Oxford Learner's Dictionaries,https://www.oxfordlearnersdictionaries.com/,Reference & Knowledge,Learner dictionary,All ages with source evaluation,English and multilingual,Free / free limited / open content,"Definitions, encyclopedias, general research support","dictionary, ESL, vocabulary, pronunciation, examples",Verify important facts with primary sources.
387,freeCodeCamp News,https://www.freecodecamp.org/news/,Technology & Coding,Coding articles and tutorials,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","coding, programming, web development, JavaScript, Python","Some certificates, labs, or premium paths may cost money."
388,MDN Web Docs,https://developer.mozilla.org/,Technology & Coding,Web development docs,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","web development, HTML, CSS, JavaScript, docs","Some certificates, labs, or premium paths may cost money."
389,W3Schools,https://www.w3schools.com/,Technology & Coding,Coding tutorials,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","HTML, CSS, JavaScript, SQL, Python, coding","Some certificates, labs, or premium paths may cost money."
390,The Odin Project,https://www.theodinproject.com/,Technology & Coding,Web development curriculum,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","web development, JavaScript, full stack, curriculum","Some certificates, labs, or premium paths may cost money."
391,Kaggle Learn,https://www.kaggle.com/learn,Technology & Coding,Data science micro-courses,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","data science, machine learning, Python, SQL, Kaggle","Some certificates, labs, or premium paths may cost money."
392,Google Developers Learn,https://developers.google.com/learn,Technology & Coding,Developer learning,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","coding, Google, Android, web, cloud, AI","Some certificates, labs, or premium paths may cost money."
393,Microsoft Learn,https://learn.microsoft.com/training/,Technology & Coding,Technical learning,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","Microsoft, cloud, AI, coding, data, certification prep","Some certificates, labs, or premium paths may cost money."
394,IBM SkillsBuild,https://skillsbuild.org/,Technology & Coding,Career and tech skills,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","AI, tech skills, career, cybersecurity, data","Some certificates, labs, or premium paths may cost money."
395,GitHub Skills,https://skills.github.com/,Technology & Coding,GitHub tutorials,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","GitHub, git, coding, version control, open source","Some certificates, labs, or premium paths may cost money."
396,Programiz,https://www.programiz.com/,Technology & Coding,Programming tutorials,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","Python, C, Java, JavaScript, programming","Some certificates, labs, or premium paths may cost money."
397,GeeksforGeeks,https://www.geeksforgeeks.org/,Technology & Coding,Coding articles,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","coding, algorithms, DSA, interview, computer science","Some certificates, labs, or premium paths may cost money."
398,Real Python,https://realpython.com/,Technology & Coding,Python tutorials,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","Python, programming, tutorials, data, web","Some certificates, labs, or premium paths may cost money."
399,Automate the Boring Stuff with Python,https://automatetheboringstuff.com/,Technology & Coding,Free online book,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","Python, automation, programming book, beginner","Some certificates, labs, or premium paths may cost money."
400,Eloquent JavaScript,https://eloquentjavascript.net/,Technology & Coding,Free online book,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","JavaScript, programming book, web development","Some certificates, labs, or premium paths may cost money."
401,You Don't Know JS Yet,https://github.com/getify/You-Dont-Know-JS,Technology & Coding,Open book series,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","JavaScript, programming, open book, web development","Some certificates, labs, or premium paths may cost money."
402,Open Data Structures,https://opendatastructures.org/,Technology & Coding,Free textbook,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","data structures, algorithms, computer science, textbook","Some certificates, labs, or premium paths may cost money."
403,Learn Git Branching,https://learngitbranching.js.org/,Technology & Coding,Interactive tutorial,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","Git, version control, coding, interactive tutorial","Some certificates, labs, or premium paths may cost money."
404,R for Data Science,https://r4ds.hadley.nz/,Technology & Coding,Free online book,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","R, data science, statistics, visualization, programming","Some certificates, labs, or premium paths may cost money."
405,Dive Into Systems,https://diveintosystems.org/,Technology & Coding,Free systems textbook,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","computer systems, C, architecture, textbook","Some certificates, labs, or premium paths may cost money."
406,Software Foundations,https://softwarefoundations.cis.upenn.edu/,Technology & Coding,Formal methods textbooks,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","formal methods, Coq, logic, programming languages","Some certificates, labs, or premium paths may cost money."
407,CS50 Harvard,https://cs50.harvard.edu/x/,Technology & Coding,Computer science course,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","computer science, CS50, programming, C, Python","Some certificates, labs, or premium paths may cost money."
408,Teach Yourself Computer Science,https://teachyourselfcs.com/,Technology & Coding,CS self-study guide,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","computer science, algorithms, systems, self-study","Some certificates, labs, or premium paths may cost money."
409,Data Carpentry Lessons,https://datacarpentry.org/lessons/,Technology & Coding,Data skills lessons,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","data science, research, R, Python, spreadsheets","Some certificates, labs, or premium paths may cost money."
410,Stack Overflow,https://stackoverflow.com/,Technology & Coding,Programming Q&A,"Teens, adults, students, developers",Mostly English,Free / free tutorials / paid certificates optional,"Coding, computer science, data science, tech skills","programming, coding, Q&A, debugging, software","Some certificates, labs, or premium paths may cost money."
411,Khan Academy Economics and Finance,https://www.khanacademy.org/economics-finance-domain,Business & Economics,Economics lessons,"Teens, adults, college, professionals",Mostly English,Free articles / open reports / paid extras optional,"Finance, economics, business, law and policy literacy","economics, finance, macro, micro, money",Not personalized financial or legal advice.
412,OpenLearn Money and Business,https://www.open.edu/openlearn/money-business,Business & Economics,Business courses and articles,"Teens, adults, college, professionals",Mostly English,Free articles / open reports / paid extras optional,"Finance, economics, business, law and policy literacy","business, finance, management, entrepreneurship, courses",Not personalized financial or legal advice.
413,MIT Sloan Management Review,https://sloanreview.mit.edu/,Business & Economics,Management articles,"Teens, adults, college, professionals",Mostly English,Free articles / open reports / paid extras optional,"Finance, economics, business, law and policy literacy","business, management, leadership, innovation",Not personalized financial or legal advice.
414,McKinsey Insights,https://www.mckinsey.com/featured-insights,Business & Economics,Business insights,"Teens, adults, college, professionals",Mostly English,Free articles / open reports / paid extras optional,"Finance, economics, business, law and policy literacy","business, strategy, leadership, industry, technology",Not personalized financial or legal advice.
415,World Bank Open Knowledge Repository,https://openknowledge.worldbank.org/,Business & Economics,Development research,"Teens, adults, college, professionals",Mostly English,Free articles / open reports / paid extras optional,"Finance, economics, business, law and policy literacy","development, economics, policy, World Bank, reports",Not personalized financial or legal advice.
416,IMF Publications,https://www.imf.org/en/Publications,Business & Economics,Economics publications,"Teens, adults, college, professionals",Mostly English,Free articles / open reports / paid extras optional,"Finance, economics, business, law and policy literacy","IMF, economics, finance, reports, policy",Not personalized financial or legal advice.
417,OECD iLibrary,https://www.oecd-ilibrary.org/,Business & Economics,Policy and economics reports,"Teens, adults, college, professionals",Mostly English,Free articles / open reports / paid extras optional,"Finance, economics, business, law and policy literacy","OECD, policy, economics, education, reports",Not personalized financial or legal advice.
418,World Economic Forum Agenda,https://www.weforum.org/agenda/,Business & Economics,Global issues articles,"Teens, adults, college, professionals",Mostly English,Free articles / open reports / paid extras optional,"Finance, economics, business, law and policy literacy","global issues, business, economics, society, climate",Not personalized financial or legal advice.
419,Legal Information Institute,https://www.law.cornell.edu/,Business & Economics,Law reference,"Teens, adults, college, professionals",Mostly English,Free articles / open reports / paid extras optional,"Finance, economics, business, law and policy literacy","law, legal, US law, constitution, court cases",Not personalized financial or legal advice.
420,Oyez,https://www.oyez.org/,Business & Economics,Supreme Court summaries,"Teens, adults, college, professionals",Mostly English,Free articles / open reports / paid extras optional,"Finance, economics, business, law and policy literacy","law, Supreme Court, civics, cases, legal literacy",Not personalized financial or legal advice.
421,MedlinePlus,https://medlineplus.gov/,Health & Wellbeing,Consumer health information,"Teens, adults, parents","Mostly English, some multilingual",Free,"Health literacy, wellbeing, public health information","health, medicine, symptoms, drugs, wellness, NIH","Educational only, not a substitute for professional care."
422,CDC Health Topics,https://www.cdc.gov/health-topics.html,Health & Wellbeing,Public health information,"Teens, adults, parents","Mostly English, some multilingual",Free,"Health literacy, wellbeing, public health information","public health, disease, prevention, CDC, health","Educational only, not a substitute for professional care."
423,NHS Health A to Z,https://www.nhs.uk/conditions/,Health & Wellbeing,Health information,"Teens, adults, parents","Mostly English, some multilingual",Free,"Health literacy, wellbeing, public health information","health, conditions, symptoms, NHS, medicine","Educational only, not a substitute for professional care."
424,WHO Fact Sheets,https://www.who.int/news-room/fact-sheets,Health & Wellbeing,Global health fact sheets,"Teens, adults, parents","Mostly English, some multilingual",Free,"Health literacy, wellbeing, public health information","WHO, global health, disease, public health, facts","Educational only, not a substitute for professional care."
425,NIH News in Health,https://newsinhealth.nih.gov/,Health & Wellbeing,Health articles,"Teens, adults, parents","Mostly English, some multilingual",Free,"Health literacy, wellbeing, public health information","health articles, wellness, medicine, NIH, prevention","Educational only, not a substitute for professional care."
426,Mayo Clinic Health Information,https://www.mayoclinic.org/patient-care-and-health-information,Health & Wellbeing,Health articles,"Teens, adults, parents","Mostly English, some multilingual",Free,"Health literacy, wellbeing, public health information","health, symptoms, medicine, wellness, Mayo Clinic","Educational only, not a substitute for professional care."
427,KidsHealth,https://kidshealth.org/,Health & Wellbeing,Health for kids and teens,"Teens, adults, parents","Mostly English, some multilingual",Free,"Health literacy, wellbeing, public health information","kids health, teen health, body, wellbeing, parents","Educational only, not a substitute for professional care."
428,Verywell Health,https://www.verywellhealth.com/,Health & Wellbeing,Health articles,"Teens, adults, parents","Mostly English, some multilingual",Free,"Health literacy, wellbeing, public health information","health, wellness, conditions, medicine, articles","Educational only, not a substitute for professional care."
429,Healthline,https://www.healthline.com/,Health & Wellbeing,Health articles,"Teens, adults, parents","Mostly English, some multilingual",Free,"Health literacy, wellbeing, public health information","health, wellness, nutrition, mental health, medicine","Educational only, not a substitute for professional care."
430,Cleveland Clinic Health Library,https://my.clevelandclinic.org/health,Health & Wellbeing,Health library,"Teens, adults, parents","Mostly English, some multilingual",Free,"Health literacy, wellbeing, public health information","health library, symptoms, conditions, treatment","Educational only, not a substitute for professional care."
